球队,13/14常规赛,14/15常规赛,15/16常规赛,16/17常规赛,13/14季后赛,14/15季后赛,15/16季后赛
骑士,33,53,57,51,0,14,16
猛龙,48,49,56,51,3,0,10
热火,54,37,48,41,13,0,7
老鹰,38,60,48,43,3,8,4
凯尔特人,25,40,48,53,0,0,2
黄蜂,43,33,48,36,0,0,3
步行者,56,38,45,42,10,0,3
活塞,29,32,44,37,0,0,0
公牛,48,50,42,41,1,6,0
奇才,44,46,41,49,6,6,0
魔术,23,25,35,29,0,0,0
雄鹿,15,41,33,42,0,2,0
尼克斯,37,17,32,31,0,0,0
篮网,44,38,21,20,5,2,0
76人,19,18,10,28,0,0,0
勇士,51,67,73,67,3,16,15
马刺,62,55,67,61,16,3,6
雷霆,59,45,55,47,10,0,11
快船,57,56,53,51,6,7,2
开拓者,54,51,44,41,5,1,5
小牛,49,50,42,33,3,1,1
灰熊,50,55,42,43,3,6,0
火箭,54,56,41,55,2,9,1
爵士,25,38,40,51,0,0,0
国王,28,29,33,32,0,0,0
掘金,36,30,33,40,0,0,0
鹈鹕,34,45,30,34,0,0,0
森林狼,40,16,29,31,0,0,0
太阳,48,39,23,24,0,0,0
湖人,27,21,17,26,0,0,0
